Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A0B4J1L0	A0A0B4J1L0	CEACAM15	CEACAM15			MGI:2141810	MGI:2141810	PDB_4JGJ:0114:LC
A0A0E4B366	A0A0F7R5U8	HC	LC					29379174:0114:LC
A0A0E4B366	Q7TS98	HC	Q7TS98					30742080:0114:LC
A0A0F7R5U8	A0A0F7R5U8	LC	LC					30571096:0114:LC
A0A0F7R5U8	P01863	LC	IGHG				MGI:2144967	31962046:0114:LC
A0A0F7R5U8	Q99M22	LC	IGH					30571096:0114:LC
A0A0G2JF94	P01900	TRAV14-1	H2-D1			MGI:3646773	MGI:95896	PDB_6G9Q:0114:LC
A0A0G2JF94	Q64237	TRAV14-1	DBH			MGI:3646773	MGI:94864	PDB_6G9Q:0114:LC
A0A0M3KL48	A0A0M3KL49	A0A0M3KL48	A0A0M3KL49					26542571:0114:LC
A0A0M3KL49	A0A0M3KL49	A0A0M3KL49	A0A0M3KL49					26542571:0114:LC
A0A0R4J186	Q60629	SAMD5	EPHA5			MGI:2444815	MGI:99654	29749928:0114:LC
A0A140LI88	A0A140LI88	ANKRD31	ANKRD31			MGI:5006716	MGI:5006716	31003867:0114:LC
A0A140LI88	Q9CWH4	ANKRD31	REC114			MGI:5006716	MGI:1920923	31003867:0114:LC
A0A5E3	P01867	LOC100046793	IGH-3				MGI:96445	PDB_1HQ4:0114:LC
A0JNT9	A0JNT9	BICDL1	BICDL1			MGI:1922915	MGI:1922915	29420470:0114:LC|33734450:0114:LC
A0N262	A0N262	VK	VK					19018101:0114:LC
A0N262	A2NU21	VK	A2NU21					19018101:0114:LC
A0NA69	P01635	A0NA69	P01635					8950273:0114:LC
A0NA69	P01646	A0NA69	P01646					8950273:0114:LC
A0NA69	P01820	A0NA69	P01820					8950273:0114:LC
A1L314	A1L314	MPEG1	MPEG1			MGI:1333743	MGI:1333743	32064340:0114:LC
A2A259	A2A259	PKD2L1	PKD2L1			MGI:1352448	MGI:1352448	29567962:0114:LC
A2A5P2	P81183	A2A5P2	IKZF2				MGI:1342541	20211142:0018:HT
A2A5P2	Q8BKT3	A2A5P2	GCFC2				MGI:2141656	20211142:0018:HT
A2A9F6	P45448	A2A9F6	NR5A2				MGI:1346834	20211142:0018:HT
A2A9F6	Q9WUU6	A2A9F6	HNF4G				MGI:1353604	20211142:0018:HT
A2ABV5	Q6PGF3	MED14	MED16			MGI:1349442	MGI:2158394	31402173:0114:LC
A2ABV5	Q80YQ2	MED14	MED23			MGI:1349442	MGI:1917458	31402173:0114:LC
A2ABV5	Q8VCD5	MED14	MED17			MGI:1349442	MGI:2182585	31402173:0114:LC
A2ABV5	Q920D3	MED14	MED28		FKSG20	MGI:1349442	MGI:1914249	31402173:0114:LC
A2ABV5	Q921D4	MED14	MED6			MGI:1349442	MGI:1917042	31402173:0114:LC
A2ABV5	Q924H2	MED14	MED15			MGI:1349442	MGI:2137379	31402173:0114:LC
A2ABV5	Q9CQ39	MED14	MED21			MGI:1349442	MGI:1347064	31402173:0114:LC
A2ABV5	Q9CQA5	MED14	MED4			MGI:1349442	MGI:1914631	31402173:0114:LC
A2ABV5	Q9CXU1	MED14	MED31			MGI:1349442	MGI:1914529	31402173:0114:LC
A2ABV5	Q9CZB6	MED14	MED7			MGI:1349442	MGI:1913463	31402173:0114:LC
A2ABV5	Q9DB40	MED14	MED27			MGI:1349442	MGI:1916225	31402173:0114:LC
A2ABV5	Q9DB91	MED14	MED29			MGI:1349442	MGI:1914474	31402173:0114:LC
A2ABV5	Q9R0X0	MED14	MED20			MGI:1349442	MGI:1929648	31402173:0114:LC
A2AHS9	Q62318	A2AHS9	TRIM28				MGI:109274	20211142:0018:HT
A2AIT5	Q99PM3	A2AIT5	GTF2A1				MGI:1933277	20211142:0018:HT
A2AIT5	Q9CXU1	A2AIT5	MED31				MGI:1914529	20211142:0018:HT
A2AQ92	A2AQ92	DUOX1	DUOX1			MGI:2139422	MGI:2139422	32929281:0114:LC
A2AQ92	Q8VE49	DUOX1	DUOXA1			MGI:2139422	MGI:2384861	32929281:0114:LC
A2AQR4	A2AQR4	ZFP64	ZFP64			MGI:107342	MGI:107342	20211142:0018:HT|20211142:0397:HT
A2AQR4	Q6PGF3	ZFP64	MED16			MGI:107342	MGI:2158394	20211142:0018:HT|20211142:0397:HT
A2AQR4	Q99PM3	ZFP64	GTF2A1			MGI:107342	MGI:1933277	20211142:0018:HT|20211142:0397:HT
A2AR50	A2AR50	RALGPS1	RALGPS1			MGI:1922008	MGI:1922008	PDB_2DTC:0114:LC
A2ASQ1	A2ASQ1	AGRN	AGRN			MGI:87961	MGI:87961	PDB_3PVE:0114:LC
A2ASS6	Q9CR42	TTN	ANKRD1			MGI:98864	MGI:1097717	20860623:0018:LC|24515436:0018:LC
A2AWQ8	P97346	A2AWQ8	NXN				MGI:109331	11591653:0397:HT
A2BH40	Q3TKT4	ARID1A	SMARCA4			MGI:1935147	MGI:88192	23540691:0006:LC|11988099:0019:LC|11988099:0071:LC|23540691:0029:LC
A2N494	A2N494	A2N494	A2N494					19018101:0114:LC
A2N494	A2NU21	A2N494	A2NU21					19018101:0114:LC
A2NN81	A2NN81	IGH-V7183	IGH-V7183			MGI:96484	MGI:96484	PDB_2OTU:0114:LC
A2NTU7	A2NTU7	A2NTU7	A2NTU7					17418792:0114:LC
A2NTU7	A2NTY6	A2NTU7	A2NTY6					17418792:0114:LC|17418792:0065:LC
A2NTU7	P01897	A2NTU7	H2-L				MGI:95912	17418792:0114:LC|17418792:0065:LC
A2NTY6	A2NTY6	A2NTY6	A2NTY6					21059660:0114:LC
A2NTY6	P01738	A2NTY6	P01738					17220897:0114:LC|17418792:0114:LC|18941216:0114:LC
A2NTY6	P01897	A2NTY6	H2-L				MGI:95912	17418792:0114:LC
A2NTY6	P06344	A2NTY6	P06344					17694060:0114:LC
A2NTY6	P14434	A2NTY6	H2-AA				MGI:95895	17694060:0114:LC
A2NTY6	Q5R1F5	A2NTY6	TRAV6D-7					17694060:0114:LC
A2NTY6	Q60597	A2NTY6	OGDH				MGI:1098267	18941216:0114:LC
A2NU21	A2NU21	A2NU21	A2NU21					19018101:0114:LC
A2NU21	Q52L64	A2NU21	IGKV8-30				MGI:3642250	18272175:0114:LC
A2NUE8	P01837	A2NUE8	IGKC				MGI:96495	16472740:0114:LC
A2RT67	A2RT67	DENND3	DENND3			MGI:2146009	MGI:2146009	29352104:0114:LC
A2RTH0	P35343	CXCL1	CXCR2			MGI:108068	MGI:105303	8662882:0405:LC|7890604:0405:LC
A4Q9E8	A4Q9E8	TTLL6	TTLL6			MGI:2683461	MGI:2683461	32747782:0114:LC
A9UIY5	O35683	ND6	NDUFA1				MGI:1929511	33514727:0114:LC
A9UIY5	P03888	ND6	MTND1				MGI:101787	33514727:0114:LC
A9UIY5	P03893	ND6	MTND2				MGI:102500	33514727:0114:LC
A9UIY5	P03899	ND6	MTND3				MGI:102499	33514727:0114:LC
A9UIY5	P03903	ND6	MTND4L				MGI:102497	33514727:0114:LC
A9UIY5	Q99LY9	ND6	NDUFS5				MGI:1890889	33514727:0114:LC
A9UIY5	Q9CQ91	ND6	NDUFA3				MGI:1913341	33514727:0114:LC
A9UIY5	Q9CQH3	ND6	NDUFB5				MGI:1913296	33514727:0114:LC
A9UIY5	Q9ERS2	ND6	NDUFA13				MGI:1914434	33514727:0114:LC
B1AR02	Q9QWH1	B1AR02	PHC2				MGI:1860454	12034499:0018:LC|12183370:0018:LC
B1AS20	Q02248	B1AS20	CTNNB1				MGI:88276	10898789:0096:LC|10898789:0006:LC|10898789:0004:LC|12874278:0018:LC|10898789:0398:LC
B1AWK6	B7ZBX1	B1AWK6	B7ZBX1					20211142:0018:HT
B1AWK6	O35317	B1AWK6	PBX3				MGI:97496	20211142:0018:HT
B1AWK6	O35984	B1AWK6	PBX2				MGI:1341793	20211142:0018:HT
B1AWK6	P15806	B1AWK6	TCF3				MGI:98510	20211142:0018:HT
B1AWK6	P41778	B1AWK6	PBX1				MGI:97495	20211142:0018:HT
B1AWK6	Q04742	B1AWK6	EMX1				MGI:95387	20211142:0018:HT
B1AWK6	Q99NE9	B1AWK6	PBX4				MGI:1931321	20211142:0018:HT
B1AYM8	Q60722	B1AYM8	TCF4				MGI:98506	11591653:0397:HT
B1AYM8	Q61909	B1AYM8	RUNX1T1				MGI:104793	20211142:0018:HT
B1AYM8	Q9WUI0	B1AYM8	MIXL1				MGI:1351322	20211142:0018:HT
B2KG64	P06332	B2KG64	CD4				MGI:88335	7486703:0018:LC|7664803:0018:LC
B2RRD7	P61458	BRPF1	PCBD1			MGI:1926033	MGI:94873	20211142:0018:HT|20211142:0397:HT
B2RRD7	Q04207	BRPF1	RELA			MGI:1926033	MGI:103290	20211142:0018:HT|20211142:0397:HT
B2RWS6	Q04207	EP300	RELA			MGI:1276116	MGI:103290	20211142:0018:HT
B2RWS6	Q9JHD1	EP300	KAT2B			MGI:1276116	MGI:1343094	20211142:0018:HT
B2RWS6	Q9WVB3	EP300	TLE6			MGI:1276116	MGI:2149593	20211142:0018:HT|20211142:0397:HT
B2RXC2	B2RXC2	ITPKB	ITPKB			MGI:109235	MGI:109235	16262249:0114:LC
B5KM66	B5KM66	SYCE3	SYCE3			MGI:1922709	MGI:1922709	25394919:0114:LC|31023827:0114:LC
B7ZBX1	E9QL92	B7ZBX1	E9QL92					20211142:0018:HT
B7ZBX1	P09631	B7ZBX1	HOXA9				MGI:96180	20211142:0018:HT
B7ZBX1	P48432	B7ZBX1	SOX2				MGI:98364	20211142:0018:HT
B7ZBX1	Q61412	B7ZBX1	VSX2				MGI:88401	20211142:0018:HT
B7ZBX1	Q6P3E7	B7ZBX1	HDAC10				MGI:2158340	20211142:0018:HT
B7ZBX1	Q8K5B8	B7ZBX1	HOXC12				MGI:96194	20211142:0018:HT
B7ZBX1	Q9WTP9	B7ZBX1	VAX2				MGI:1346018	20211142:0018:HT
B7ZWN4	B7ZWN4	SULT6B2	SULT6B2			MGI:2685612	MGI:2685612	PDB_5X2B:0114:LC
B8ZXI1	B8ZXI1	QTRT2	QTRT2			MGI:1922194	MGI:1922194	29862811:0114:LC
B9EHI3	P36898	1700006A11RIK	BMPR1B			MGI:1919074	MGI:107191	15761153:0007:HT|15761153:0019:HT
C0HKE1	C0HKE1	H2AC4	H2AC4			MGI:2448306	MGI:2448306	29643389:0114:LC
C0HKE1	P62806	H2AC4	H4C1|H4C2|H4C3|H4C4|H4C6|H4C8|H4C9|H4C11|H4C12|HIST1H4M|H4C14|H4F16			MGI:2448306	MGI:2448419|MGI:2448436|MGI:2448439|MGI:2140113|MGI:2448420|MGI:2448421|MGI:2448423|MGI:2448425|MGI:2448427|MGI:2448432|MGI:2448443|MGI:2448441	29643389:0114:LC
C0HKE1	P84244	H2AC4	H3-3A|H3-3B			MGI:2448306	MGI:1097686|MGI:1101768	29643389:0114:LC
C0HKE1	Q9D2U9	H2AC4	HIST3H2BA			MGI:2448306	MGI:1925553	29643389:0114:LC
C0HKE5	C0HKE5	H2AC11	H2AC11			MGI:2448293	MGI:2448293	28099840:0114:LC
C0HKE5	P62806	H2AC11	H4C1|H4C2|H4C3|H4C4|H4C6|H4C8|H4C9|H4C11|H4C12|HIST1H4M|H4C14|H4F16			MGI:2448293	MGI:2448419|MGI:2448436|MGI:2448439|MGI:2140113|MGI:2448420|MGI:2448421|MGI:2448423|MGI:2448425|MGI:2448427|MGI:2448432|MGI:2448443|MGI:2448441	28099840:0114:LC
C0HKE5	P68433	H2AC11	H3C1|H3C8|H3C10|H3C11			MGI:2448293	MGI:2668828|MGI:2448349|MGI:2448350|MGI:2145541	28099840:0114:LC
C0HKE5	Q9D2U9	H2AC11	HIST3H2BA			MGI:2448293	MGI:1925553	28099840:0114:LC
D2YW38	D2YW38	D2YW38	D2YW38					20093428:0114:LC
D2YW38	P01887	D2YW38	B2M				MGI:88127	20093428:0114:LC
D3YZU1	Q4ACU6	SHANK1	SHANK3			MGI:3613677	MGI:1930016	20573181:0028:LC|21653829:0006:HT
D3YZU1	Q99JP6	SHANK1	HOMER3			MGI:3613677	MGI:1347359	21653829:0006:HT
D3YZU1	Q9EP53	SHANK1	TSC1			MGI:3613677	MGI:1929183	21653829:0006:HT
D3Z4R4	P22361	NKX6-2	HNF1A			MGI:1352738	MGI:98504	20211142:0018:HT|20211142:0397:HT
D3Z4R4	Q80W03	NKX6-2	TOX3			MGI:1352738	MGI:3039593	20211142:0018:HT|20211142:0397:HT
D3Z4R4	Q9JL10	NKX6-2	SERTAD1			MGI:1352738	MGI:1913438	20211142:0018:HT|20211142:0397:HT
D3Z7P3	D3Z7P3	GLS	GLS			MGI:95752	MGI:95752	27542409:0114:LC|23935106:0114:LC|22228304:0114:LC|22228304:0071:LC
E0CXP6	Q80VM7	UMAD1	ANKRD24			MGI:3840148	MGI:1890394	11591653:0397:HT
E0CXP6	Q9D1C8	UMAD1	VPS28			MGI:3840148	MGI:1914164	11591653:0397:HT
E2JF22	E2JF22	PIEZO1	PIEZO1			MGI:3603204	MGI:3603204	29469092:0114:LC|26390154:0071:LC|29231809:0114:LC|29261642:0114:LC|32142647:0114:LC|26390154:0020:LC|26390154:0114:LC
E9PYI1	E9PYI1	ZNF568	ZNF568			MGI:2142347	MGI:2142347	29551271:0114:LC
E9Q238	Q9QXL2	KANK1	KIF21A			MGI:2147707	MGI:109188	29217769:0114:LC
E9Q401	E9Q401	RYR2	RYR2			MGI:99685	MGI:99685	22705209:0114:LC|26245150:0114:LC|12324472:0040:LC|20427316:1016:LC|PDB_6J6L:0114:LC|PDB_3QR5:0114:LC|19913485:0114:LC|20427316:0055:LC
E9Q401	P05132	RYR2	PRKACA			MGI:99685	MGI:97592	PDB_6MM6:0114:LC|PDB_6MM8:0114:LC|PDB_6MM5:0114:LC|PDB_6MM7:0114:LC
E9Q5M9	S4R1L6	ZFP688	MZF1			MGI:1916484	MGI:107457	20211142:0018:HT|20211142:0397:HT
E9Q7L6	O55144	FOXN2	TLX3			MGI:1347478	MGI:1351209	20211142:0018:HT|20211142:0397:HT
E9Q7L6	Q07279	FOXN2	NFE2			MGI:1347478	MGI:97308	20211142:0018:HT|20211142:0397:HT
E9QAP1	P56477	ZFP764	IRF5			MGI:2443580	MGI:1350924	20211142:0018:HT|20211142:0397:HT
E9QAP1	Q07279	ZFP764	NFE2			MGI:2443580	MGI:97308	20211142:0018:HT|20211142:0397:HT
E9QJV4	E9QJV4	PRPF39	PRPF39			MGI:104602	MGI:104602	30949712:0114:LC
E9QL92	O54714	E9QL92	PIAS3				MGI:1913126	20211142:0018:HT
F6SEU4	F6SEU4	SYNGAP1	SYNGAP1			MGI:3039785	MGI:3039785	27565345:0114:LC
F7BJB9	F7BJB9	MORC3	MORC3			MGI:2136841	MGI:2136841	27528681:0114:LC
F7BJB9	P68433	MORC3	H3C1|H3C8|H3C10|H3C11			MGI:2136841	MGI:2668828|MGI:2448349|MGI:2448350|MGI:2145541	27528681:0114:LC
F8VQ05	P60335	FRYL	PCBP1			MGI:1919563	MGI:1345635	11591653:0397:HT
G0YP42	G0YP42	G0YP42	G0YP42					30540945:0114:LC|10993728:0114:LC
G0YP42	P01751	G0YP42	P01751					7490744:0114:LC
G3X8R0	G3X8R0	REEP5	REEP5			MGI:1270152	MGI:1270152	11591653:0397:HT
G3X8R0	P97801	REEP5	SMN1			MGI:1270152	MGI:109257	11591653:0397:HT
G3X904	Q3U1N2	ZFP275	SREBF2			MGI:1350985	MGI:107585	20211142:0018:HT|20211142:0397:HT
G3X904	Q64163	ZFP275	TFDP2			MGI:1350985	MGI:107167	20211142:0018:HT|20211142:0397:HT
G3X904	Q6P3E7	ZFP275	HDAC10			MGI:1350985	MGI:2158340	20211142:0018:HT|20211142:0397:HT
G3X904	Q8CFI7	ZFP275	POLR2B			MGI:1350985	MGI:2388280	20211142:0018:HT|20211142:0397:HT
G3X904	Q8VHS6	ZFP275	ASB15			MGI:1350985	MGI:1926160	20211142:0018:HT|20211142:0397:HT
G3X904	Q920Q8	ZFP275	IVNS1ABP			MGI:1350985	MGI:2152389	20211142:0018:HT|20211142:0397:HT
G3X904	Q924A2	ZFP275	CIC			MGI:1350985	MGI:1918972	20211142:0018:HT|20211142:0397:HT
G3X904	Q924Z4	ZFP275	CERS2			MGI:1350985	MGI:1924143	20211142:0018:HT|20211142:0397:HT
G3X904	Q9R0X0	ZFP275	MED20			MGI:1350985	MGI:1929648	20211142:0018:HT|20211142:0397:HT
G3X904	Q9WVB3	ZFP275	TLE6			MGI:1350985	MGI:2149593	20211142:0018:HT|20211142:0397:HT
G3X904	Q9Z2U2	ZFP275	ZFP292			MGI:1350985	MGI:1353423	20211142:0018:HT|20211142:0397:HT
J3QMZ0	J3QMZ0	IGKV4-54	IGKV4-54			MGI:5009821	MGI:5009821	21322055:0114:LC
J3QMZ0	P18527	IGKV4-54	P18527			MGI:5009821		21322055:0114:LC
L0N7N1	L0N7N1	KIF14	KIF14			MGI:1098226	MGI:1098226	PDB_6WWH:0114:LC|PDB_6WWG:0114:LC|PDB_6WWL:0114:LC|PDB_6WWK:0114:LC
O08537	Q8VH51	ESR2	RBM39			MGI:109392	MGI:2157953	20211142:0018:HT
O08543	P54763	EFNA5	EPHB2			MGI:107444	MGI:99611	15107857:0114:LC
O08547	O08547	SEC22B	SEC22B			MGI:1338759	MGI:1338759	11309394:0114:LC
O08553	O08553	DPYSL2	DPYSL2			MGI:1349763	MGI:1349763	28277940:0114:LC
O08573	O08573	LGALS9	LGALS9			MGI:109496	MGI:109496	16990264:0114:LC|16990264:0107:LC
O08582	P04214	GTPBP1	P04214			MGI:109443		11911820:0114:LC
O08582	P04223	GTPBP1	H2-K1			MGI:109443	MGI:95904	11911820:0114:LC
O08600	O08600	ENDOG	ENDOG			MGI:1261433	MGI:1261433	32192768:0114:LC|32095813:0114:LC
O08603	O08603	RAET1B	RAET1B			MGI:109432	MGI:109432	11248803:0114:LC|11825567:0114:LC
O08603	O54709	RAET1B	KLRK1			MGI:109432	MGI:1196250	11825567:0114:LC
O08604	O08604	RAET1C	RAET1C			MGI:109431	MGI:109431	23169621:0114:LC
O08609	Q2VPU4	MLX	MLXIP			MGI:108398	MGI:2141183	20211142:0018:HT|11073985:0006:LC|11073985:0047:LC
O08665	O08665	SEMA3A	SEMA3A			MGI:107558	MGI:107558	34039996:0114:LC|12925274:0114:LC|23104057:0114:LC
O08665	P70207	SEMA3A	PLXNA2			MGI:107558	MGI:107684	23104057:0114:LC
O08665	P97333	SEMA3A	NRP1			MGI:107558	MGI:106206	23104057:0107:LC|23104057:0096:LC|34039996:0114:LC|23104057:0114:LC
O08665	Q80UG2	SEMA3A	PLXNA4			MGI:107558	MGI:2179061	34039996:0114:LC
O08674	O55144	RBPJL	TLX3			MGI:1196616	MGI:1351209	20211142:0018:HT|20211142:0397:HT
O08675	P19221	F2RL2	F2			MGI:1298208	MGI:88380	17606903:0114:LC
O08686	P01101	BARX2	FOS			MGI:109617	MGI:95574	20211142:0018:HT
O08686	P05627	BARX2	JUN			MGI:109617	MGI:96646	20211142:0018:HT
O08686	P16951	BARX2	ATF2			MGI:109617	MGI:109349	20211142:0018:HT
O08686	Q01147	BARX2	CREB1			MGI:109617	MGI:88494	20211142:0018:HT
O08689	O08689	MSTN	MSTN			MGI:95691	MGI:95691	19644449:0114:LC|28257634:0114:LC
O08712	O35235	TNFRSF11B	TNFSF11			MGI:109587	MGI:1100089	23039992:0114:LC|23039992:0107:LC|23039992:0071:LC
O08734	O08734	BAK1	BAK1			MGI:1097161	MGI:1097161	31591564:0114:LC
O08734	Q07440	BAK1	BCL2A1			MGI:1097161	MGI:102687	18462686:0114:LC|18462686:0065:LC
O08740	P97760	POLR2J	POLR2C			MGI:109582	MGI:109299	20211142:0018:HT|20211142:0397:HT
O08740	Q99NE9	POLR2J	PBX4			MGI:109582	MGI:1931321	20211142:0018:HT|20211142:0397:HT
O08760	O08760	OGG1	OGG1			MGI:1097693	MGI:1097693	30442810:0114:LC|PDB_6G40:0114:LC
O08762	O08762	PRSS12	PRSS12			MGI:1100881	MGI:1100881	30748049:0114:LC
O08785	O08785	CLOCK	CLOCK			MGI:99698	MGI:99698	28669630:0114:LC
O08785	O54943	CLOCK	PER2			MGI:99698	MGI:1195265	18430226:0728:LC|23555304:0018:LC|18430226:0007:LC
O08785	P97784	CLOCK	CRY1			MGI:99698	MGI:1270841	18430226:0728:LC|23555304:0018:LC
O08785	Q8R0W1	CLOCK	CIPC			MGI:99698	MGI:1919185	23555304:0018:LC|28669630:0114:LC
O08785	Q9R194	CLOCK	CRY2			MGI:99698	MGI:1270859	23555304:0018:LC|18430226:0728:LC
O08785	Q9WTL8	CLOCK	ARNTL			MGI:99698	MGI:1096381	20211142:0397:HT|22653727:0809:LC|24737000:0809:LC|9704006:0018:LC|25961797:0018:LC|22653727:0114:LC|22653727:0007:LC|20840750:0018:LC|23555304:0018:LC|23555304:0007:LC
O08791	Q8K4J2	EBF3	EBF4			MGI:894289	MGI:2385972	20211142:0018:HT
O08795	Q8BHN3	PRKCSH	GANAB			MGI:107877	MGI:1097667	27462106:0114:LC
O08807	O08807	PRDX4	PRDX4			MGI:1859815	MGI:1859815	23949117:0114:LC
O08808	O08808	DIAPH1	DIAPH1			MGI:1194490	MGI:1194490	20927338:0114:LC|10559899:0096:LC|15866170:0004:LC|16472745:0114:LC|10559899:0018:LC|15866170:0114:LC|16472745:0065:LC|18829452:0114:LC|20927343:0114:LC|10559899:0004:LC|16292343:0114:LC|25911102:0114:LC|14992721:0114:LC
O08808	P60469	DIAPH1	PPFIA3			MGI:1194490	MGI:1924037	25911102:0114:LC
O08808	P60766	DIAPH1	CDC42			MGI:1194490	MGI:106211	18829452:0114:LC
O08808	Q9JJV2	DIAPH1	PFN2			MGI:1194490	MGI:97550	18001770:0114:LC
O08856	Q920Q8	ELL	IVNS1ABP			MGI:109377	MGI:2152389	20211142:0018:HT|20211142:0397:HT
O08908	Q8BTI9	PIK3R2	PIK3CB			MGI:1098772	MGI:1922019	21362552:0114:LC
O08915	P30561	AIP	AHR			MGI:109622	MGI:105043	20211142:0397:HT|9083006:0018:LC|9083006:0004:LC|20211142:0018:HT|9083006:0019:LC
O08967	O08967	CYTH3	CYTH3			MGI:1335107	MGI:1335107	10983984:0114:LC
O08989	O08989	MRAS	MRAS			MGI:1100856	MGI:1100856	20479006:0114:LC
O09000	O35973	NCOA3	PER1			MGI:1276535	MGI:1098283	20211142:0018:HT|20211142:0397:HT
O09000	O54915	NCOA3	NR1I2			MGI:1276535	MGI:1337040	20211142:0018:HT|20211142:0397:HT
O09000	O88522	NCOA3	IKBKG			MGI:1276535	MGI:1338074	20211142:0018:HT|20211142:0397:HT
O09000	P70325	NCOA3	TBX4			MGI:1276535	MGI:102556	20211142:0018:HT|20211142:0397:HT
O09000	Q8BKT3	NCOA3	GCFC2			MGI:1276535	MGI:2141656	20211142:0018:HT|20211142:0397:HT
O09000	Q8CFD5	NCOA3	ERCC8			MGI:1276535	MGI:1919241	20211142:0018:HT|20211142:0397:HT
O09000	Q8CFN5	NCOA3	MEF2C			MGI:1276535	MGI:99458	20211142:0018:HT|20211142:0397:HT
O09000	Q8R1B8	NCOA3	RORB			MGI:1276535	MGI:1343464	20211142:0018:HT|20211142:0397:HT
O09000	Q8VDQ8	NCOA3	SIRT2			MGI:1276535	MGI:1927664	20211142:0018:HT|20211142:0397:HT
O09000	Q921X6	NCOA3	POLR3F			MGI:1276535	MGI:1924086	20211142:0018:HT|20211142:0397:HT
O09000	Q923E4	NCOA3	SIRT1			MGI:1276535	MGI:2135607	20211142:0018:HT|20211142:0397:HT
O09000	Q924Z4	NCOA3	CERS2			MGI:1276535	MGI:1924143	20211142:0018:HT|20211142:0397:HT
O09000	Q925H1	NCOA3	TRPS1			MGI:1276535	MGI:1927616	20211142:0018:HT|20211142:0397:HT
O09000	Q9D0D5	NCOA3	GTF2E1			MGI:1276535	MGI:1921447	20211142:0018:HT|20211142:0397:HT
O09000	Q9WUU6	NCOA3	HNF4G			MGI:1276535	MGI:1353604	20211142:0018:HT|20211142:0397:HT
O09000	Q9WVB3	NCOA3	TLE6			MGI:1276535	MGI:2149593	20211142:0018:HT|20211142:0397:HT
O09000	Q9Z148	NCOA3	EHMT2			MGI:1276535	MGI:2148922	20211142:0018:HT|20211142:0397:HT
O09061	O09061	PSMB1	PSMB1			MGI:104884	MGI:104884	22341445:0114:LC
O09061	O35955	PSMB1	PSMB10			MGI:104884	MGI:1096380	22341445:0114:LC
O09061	O55234	PSMB1	PSMB5			MGI:104884	MGI:1194513	22341445:0114:LC
O09061	P28063	PSMB1	PSMB8			MGI:104884	MGI:1346527	22341445:0114:LC
O09061	P70195	PSMB1	PSMB7			MGI:104884	MGI:107637	22341445:0114:LC
O09061	P99026	PSMB1	PSMB4			MGI:104884	MGI:1098257	22341445:0114:LC
O09061	Q9R1P1	PSMB1	PSMB3			MGI:104884	MGI:1347014	22341445:0114:LC
O09061	Q9R1P4	PSMB1	PSMA1			MGI:104884	MGI:1347005	22341445:0114:LC
O09061	Q9Z2U1	PSMB1	PSMA5			MGI:104884	MGI:1347009	22341445:0114:LC
O09105	Q61909	NEUROD4	RUNX1T1			MGI:108055	MGI:104793	20211142:0018:HT|20211142:0397:HT
O09106	Q60973	HDAC1	RBBP7			MGI:108086	MGI:1194910	20211142:0018:HT
O09106	Q921E6	HDAC1	EED			MGI:108086	MGI:95286	20211142:0018:HT
O09110	P47811	MAP2K3	MAPK14			MGI:1346868	MGI:1346865	15644321:0415:LC|12086621:0114:LC
O09111	P03893	NDUFB11	MTND2			MGI:1349919	MGI:102500	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
O09111	P03911	NDUFB11	MTND4			MGI:1349919	MGI:102498	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
O09111	P03921	NDUFB11	MTND5			MGI:1349919	MGI:102496	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
O09111	Q3UIU2	NDUFB11	NDUFB6			MGI:1349919	MGI:2684983	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
O09111	Q91WD5	NDUFB11	NDUFS2			MGI:1349919	MGI:2385112	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
O09111	Q99LC3	NDUFB11	NDUFA10			MGI:1349919	MGI:1914523	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
O09111	Q9CQ54	NDUFB11	NDUFC2			MGI:1349919	MGI:1344370	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
O09111	Q9CQC7	NDUFB11	NDUFB4			MGI:1349919	MGI:1915444	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
O09111	Q9CQH3	NDUFB11	NDUFB5			MGI:1349919	MGI:1913296	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
O09111	Q9CQJ8	NDUFB11	NDUFB9			MGI:1349919	MGI:1913468	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
O09111	Q9D6J5	NDUFB11	NDUFB8			MGI:1349919	MGI:1914514	33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
O09111	Q9DCS9	NDUFB11	NDUFB10			MGI:1349919	MGI:1915592	29915388:0114:LC|33514727:0114:LC|33067417:0114:LC|33990335:0114:LC
O09114	O09114	PTGDS	PTGDS			MGI:99261	MGI:99261	19546224:0114:LC
O09130	O09130	NFATC2IP	NFATC2IP			MGI:1329015	MGI:1329015	20077568:0114:LC
